"","year","month","H_PRCP","H_TAVG","MEI","PDO","IOD","AO1","PDO1","my.sunspot.vec","F_PRCP","F_TAVG"
"323",1976,12,6.7,58.4,0.565,1.22,0.256,-2.074,0.560791946185995,15.3,0.71,46.5
"324",1977,1,1.89,58,0.529,1.65,0.18,-3.767,0.889023182168869,16.4,0.69,44.3
"325",1977,2,7.8,58.6,0.29,1.11,-0.076,-2.01,1.14171321120953,23.1,0.09,53.5
"326",1977,3,35.78,56.6,0.145,0.72,0.338,0.344,1.21004506483745,8.7,1.04,52.4
"327",1977,4,14.1,59.2,0.545,0.3,0.17,1.329,1.070962340218,12.9,0.04,65.4
"328",1977,5,5.7,59.5,0.318,0.31,-0.13,0.104,0.809712463820265,18.6,1.16,63.6
"329",1977,6,1.54,61.7,0.443,0.42,0.105,-0.226,0.0809592596377746,38.5,0.06,79.8
"330",1977,7,5.85,59.0532813573529,0.888,0.19,0.131,-0.492,-0.989494804695397,21.4,0,81.5
"331",1977,8,8.96,61.5,0.706,0.64,0.023,-1.412,-1.72282321128243,30.1,0,80.6
"332",1977,9,2.46,59.2845355447422,0.824,-0.55,0.114,0.586,-1.65427904802299,44,0,74
"333",1977,10,6.63,62.8,1.016,-0.61,0.602,-0.009,-0.876829484444293,43.8,0.01,66.8
"334",1977,11,3.31,60.7,0.99,-0.72,0.121,0.605,0.133371949576587,29.1,0.46,54.5
"335",1977,12,3.02,57.8,0.877,-0.69,0.193,-0.24,0.518903446200987,43.2,3.02,51.2
"336",1978,1,3.1,58.1,0.777,0.34,-0.451,-0.347,0.834396837781723,51.9,3.16,51.4
"337",1978,2,1.71,61.0271272285332,0.912,1.45,-0.35,-3.014,1.0446765929623,93.6,4.41,52.5
"338",1978,3,7.57,58.4,0.935,1.34,-0.418,0.502,1.16886066924824,76.5,4.25,60.3
"339",1978,4,7.55,60,0.191,1.29,-0.024,-0.967,0.988263831203532,99.7,2.85,58.9
"340",1978,5,8.65,62,-0.381,0.9,-0.327,0.059,0.707731011060507,82.7,0,69.9
"341",1978,6,7.21,61.9,-0.575,0.15,0.02,0.635,0.078881343067022,95.1,0,76.2
"342",1978,7,9.98,63.1,-0.421,-1.24,0.194,-0.604,-1.10880690616894,70.4,0,82.4
